,metric,reporter,count,sample
133,C,GFP_BAR_006,8022,U2OSPatty_WT_1h_BR2
134,G,GFP_BAR_006,8,U2OSPatty_WT_1h_BR2
135,T,GFP_BAR_006,23,U2OSPatty_WT_1h_BR2
136,del,GFP_BAR_006,43,U2OSPatty_WT_1h_BR2
137,del_mh,GFP_BAR_006,1,U2OSPatty_WT_1h_BR2
138,del_nomh,GFP_BAR_006,42,U2OSPatty_WT_1h_BR2
139,ins,GFP_BAR_006,0,U2OSPatty_WT_1h_BR2
140,repaired,GFP_BAR_006,8022,U2OSPatty_WT_1h_BR2
141,total,GFP_BAR_006,9285,U2OSPatty_WT_1h_BR2
142,unrepaired,GFP_BAR_006,1189,U2OSPatty_WT_1h_BR2
143,A,GFP_BAR_007,8,U2OSPatty_WT_1h_BR2
144,C,GFP_BAR_007,20,U2OSPatty_WT_1h_BR2
145,G,GFP_BAR_007,824,U2OSPatty_WT_1h_BR2
146,T,GFP_BAR_007,1579,U2OSPatty_WT_1h_BR2
147,del,GFP_BAR_007,150,U2OSPatty_WT_1h_BR2
148,del_mh,GFP_BAR_007,0,U2OSPatty_WT_1h_BR2
149,del_nomh,GFP_BAR_007,150,U2OSPatty_WT_1h_BR2
150,ins,GFP_BAR_007,1,U2OSPatty_WT_1h_BR2
151,repaired,GFP_BAR_007,824,U2OSPatty_WT_1h_BR2
152,total,GFP_BAR_007,2581,U2OSPatty_WT_1h_BR2
153,unrepaired,GFP_BAR_007,1579,U2OSPatty_WT_1h_BR2
154,A,GFP_BAR_008,41,U2OSPatty_WT_1h_BR2
155,C,GFP_BAR_008,1,U2OSPatty_WT_1h_BR2
156,G,GFP_BAR_008,13201,U2OSPatty_WT_1h_BR2
157,T,GFP_BAR_008,2,U2OSPatty_WT_1h_BR2
158,del,GFP_BAR_008,20,U2OSPatty_WT_1h_BR2
159,del_mh,GFP_BAR_008,3,U2OSPatty_WT_1h_BR2
160,del_nomh,GFP_BAR_008,17,U2OSPatty_WT_1h_BR2
161,ins,GFP_BAR_008,2,U2OSPatty_WT_1h_BR2
162,repaired,GFP_BAR_008,13201,U2OSPatty_WT_1h_BR2
163,total,GFP_BAR_008,13265,U2OSPatty_WT_1h_BR2
164,unrepaired,GFP_BAR_008,41,U2OSPatty_WT_1h_BR2
165,A,GFP_BAR_009,19,U2OSPatty_WT_1h_BR2
166,C,GFP_BAR_009,15807,U2OSPatty_WT_1h_BR2
167,G,GFP_BAR_009,16,U2OSPatty_WT_1h_BR2
168,T,GFP_BAR_009,5374,U2OSPatty_WT_1h_BR2
169,del,GFP_BAR_009,232,U2OSPatty_WT_1h_BR2
170,del_mh,GFP_BAR_009,0,U2OSPatty_WT_1h_BR2
171,del_nomh,GFP_BAR_009,232,U2OSPatty_WT_1h_BR2
172,ins,GFP_BAR_009,0,U2OSPatty_WT_1h_BR2
173,repaired,GFP_BAR_009,5374,U2OSPatty_WT_1h_BR2
174,total,GFP_BAR_009,21448,U2OSPatty_WT_1h_BR2
175,unrepaired,GFP_BAR_009,15807,U2OSPatty_WT_1h_BR2
176,A,GFP_BAR_010,0,U2OSPatty_WT_1h_BR2
177,C,GFP_BAR_010,0,U2OSPatty_WT_1h_BR2
178,G,GFP_BAR_010,0,U2OSPatty_WT_1h_BR2
179,T,GFP_BAR_010,0,U2OSPatty_WT_1h_BR2
180,del,GFP_BAR_010,0,U2OSPatty_WT_1h_BR2
181,del_mh,GFP_BAR_010,0,U2OSPatty_WT_1h_BR2
182,del_nomh,GFP_BAR_010,0,U2OSPatty_WT_1h_BR2
183,ins,GFP_BAR_010,0,U2OSPatty_WT_1h_BR2
184,repaired,GFP_BAR_010,0,U2OSPatty_WT_1h_BR2
185,total,GFP_BAR_010,5773,U2OSPatty_WT_1h_BR2
186,unrepaired,GFP_BAR_010,0,U2OSPatty_WT_1h_BR2
187,A,GFP_BAR_DSBR_2,0,U2OSPatty_WT_1h_BR2
188,C,GFP_BAR_DSBR_2,0,U2OSPatty_WT_1h_BR2
189,G,GFP_BAR_DSBR_2,0,U2OSPatty_WT_1h_BR2
190,T,GFP_BAR_DSBR_2,0,U2OSPatty_WT_1h_BR2
191,del,GFP_BAR_DSBR_2,173,U2OSPatty_WT_1h_BR2
192,del_mh,GFP_BAR_DSBR_2,9,U2OSPatty_WT_1h_BR2
193,del_nomh,GFP_BAR_DSBR_2,164,U2OSPatty_WT_1h_BR2
194,ins,GFP_BAR_DSBR_2,14,U2OSPatty_WT_1h_BR2
195,repaired,GFP_BAR_DSBR_2,0,U2OSPatty_WT_1h_BR2
196,total,GFP_BAR_DSBR_2,17350,U2OSPatty_WT_1h_BR2
197,unrepaired,GFP_BAR_DSBR_2,0,U2OSPatty_WT_1h_BR2
198,A,GFP_BAR_003,0,U2OS_XPG_4h_BR2
199,C,GFP_BAR_003,10774,U2OS_XPG_4h_BR2
