,pathway,sd,value,sample
250,NER,0.00969737139932185,0.18984179850124897,HAP1_WT_4h_BR1
251,NHEJ,0.05053391966487332,2.0266444629475435,HAP1_WT_4h_BR1
252,BER_8oxoG_C,0.0027872661824783623,0.9099440705280122,HAP1_WT_24h_BR2
253,BER_A_8oxoG,0.003181286690365907,0.9142046187588698,HAP1_WT_24h_BR2
254,BER_Hx,0.0028248961176628408,0.8666620632509322,HAP1_WT_24h_BR2
255,BER_UG,0.0005067165284723959,0.9960673789080422,HAP1_WT_24h_BR2
256,DR_O6MeG,0.00163229427194572,0.9501857480580885,HAP1_WT_24h_BR2
257,MMEJ,0.0025453089008588238,0.03395460417051117,HAP1_WT_24h_BR2
258,MMR,0.006785935812980411,0.3426001635322976,HAP1_WT_24h_BR2
259,NER,0.01635232218137006,0.8034692747739436,HAP1_WT_24h_BR2
260,NHEJ,0.0386149399344537,2.3862336224395646,HAP1_WT_24h_BR2
261,BER_8oxoG_C,0.002048048885222167,0.9201735853366071,U2OS_UNG_2h_BR3
262,BER_A_8oxoG,0.0066126313868908925,0.5445090780891945,U2OS_UNG_2h_BR3
263,BER_Hx,0.002899619643626446,0.5140010770059236,U2OS_UNG_2h_BR3
264,BER_UG,0.0012334632023307474,0.9647717099373322,U2OS_UNG_2h_BR3
265,DR_O6MeG,0.0032631769488365246,0.7398351496376612,U2OS_UNG_2h_BR3
266,MMEJ,0.0018122890007955007,0.029671038486347022,U2OS_UNG_2h_BR3
267,MMR,0.001317503925764591,0.029451056594607724,U2OS_UNG_2h_BR3
268,NER,0.0021958169240710863,0.043001505052676844,U2OS_UNG_2h_BR3
269,NHEJ,0.04808231199897409,4.164265749301226,U2OS_UNG_2h_BR3
270,BER_8oxoG_C,0.0024416003908299803,0.9337767495662233,TK6_LIG4_2h_BR3
271,BER_A_8oxoG,0.004935361067664,0.7562425683709869,TK6_LIG4_2h_BR3
272,BER_Hx,0.00401879625741284,0.6768810455585912,TK6_LIG4_2h_BR3
273,BER_UG,0.0008077399256029787,0.9919718194478578,TK6_LIG4_2h_BR3
274,DR_O6MeG,0.003537221041067101,0.13764755480607083,TK6_LIG4_2h_BR3
275,MMEJ,0.0008292480632031084,0.004531722054380665,TK6_LIG4_2h_BR3
276,MMR,0.0019370603517068043,0.03681760473973762,TK6_LIG4_2h_BR3
277,NER,0.0022397963259788924,0.032175226586102716,TK6_LIG4_2h_BR3
278,NHEJ,0.0015141989255632138,0.014954682779456193,TK6_LIG4_2h_BR3
279,BER_8oxoG_C,0.0020408216914897114,0.9720773243326174,TK6_WT_24h_BR3
280,BER_A_8oxoG,0.003088479359444609,0.8806606770124331,TK6_WT_24h_BR3
281,BER_Hx,0.004782700904701303,0.8579470820041284,TK6_WT_24h_BR3
282,BER_UG,0.0014536234834816282,0.9874171059343649,TK6_WT_24h_BR3
283,DR_O6MeG,0.0039017760700062226,0.19775474956822106,TK6_WT_24h_BR3
284,MMEJ,0.0005002583599348154,0.0031192513796688796,TK6_WT_24h_BR3
285,MMR,0.0048268183884807156,0.1524873828406633,TK6_WT_24h_BR3
286,NER,0.004935158408729064,0.2446612812924898,TK6_WT_24h_BR3
287,NHEJ,0.006656143852029353,0.3966248100455891,TK6_WT_24h_BR3
288,BER_8oxoG_C,0.006193965933405942,0.8167606355715018,HAP1_MPG_2h_BR3
289,BER_A_8oxoG,0.012824214465289507,0.5290237467018469,HAP1_MPG_2h_BR3
290,BER_Hx,0.003541923628689799,0.10352750371671847,HAP1_MPG_2h_BR3
291,BER_UG,0.0010992978263275608,0.9927658142664872,HAP1_MPG_2h_BR3
292,DR_O6MeG,0.008083094662959062,0.6326587970770096,HAP1_MPG_2h_BR3
293,MMEJ,0.0009259818980789749,0.0016025641025641025,HAP1_MPG_2h_BR3
294,MMR,0.011404492344817635,0.24597056762438682,HAP1_MPG_2h_BR3
295,NER,0.006009666114508977,0.06356837606837606,HAP1_MPG_2h_BR3
296,NHEJ,0.07108345729052103,2.6159188034188032,HAP1_MPG_2h_BR3
297,BER_8oxoG_C,0.0020076755231038376,0.9454915148197388,U2OS_WT_4h_BR3
298,BER_A_8oxoG,0.007061123497016676,0.6419431793537194,U2OS_WT_4h_BR3
299,BER_Hx,0.0036066414382501764,0.6634626587440289,U2OS_WT_4h_BR3
300,BER_UG,0.00035954319589718176,0.9978106508875739,U2OS_WT_4h_BR3
301,DR_O6MeG,0.0030027448069425196,0.8288110821630552,U2OS_WT_4h_BR3
302,MMEJ,0.0021155080474286447,0.04334487877288471,U2OS_WT_4h_BR3
303,MMR,0.0031806871117693266,0.10902842861605748,U2OS_WT_4h_BR3
304,NER,0.0030040778078538654,0.08411677387431965,U2OS_WT_4h_BR3
305,NHEJ,0.030452707001888953,2.601781296387927,U2OS_WT_4h_BR3
306,BER_8oxoG_C,0.002411253712335385,0.9395801331285202,TK6_WT_2h_BR3
307,BER_A_8oxoG,0.004233621048520111,0.7828975115984816,TK6_WT_2h_BR3
308,BER_Hx,0.003850195162440098,0.7360750801159774,TK6_WT_2h_BR3
309,BER_UG,0.0009558963490388448,0.9869843527738265,TK6_WT_2h_BR3
310,DR_O6MeG,0.0032365253821585766,0.15000410745091597,TK6_WT_2h_BR3
311,MMEJ,0.0010177568439738887,0.00871716338791377,TK6_WT_2h_BR3
312,MMR,0.0034793756470738427,0.07961678229269904,TK6_WT_2h_BR3
313,NER,0.0015325081039279879,0.019554717870184944,TK6_WT_2h_BR3
314,NHEJ,0.028264376134638374,2.1517257627517963,TK6_WT_2h_BR3
315,BER_8oxoG_C,0.002263455759081176,0.950816080622193,TK6_PolQ_4h_BR3
316,BER_A_8oxoG,0.0037698621399159683,0.8449772184855717,TK6_PolQ_4h_BR3
317,BER_Hx,0.004178460181201907,0.7561783921977085,TK6_PolQ_4h_BR3
318,BER_UG,0.0008895043431228292,0.9908875843336546,TK6_PolQ_4h_BR3
319,DR_O6MeG,0.003948925626834555,0.17224409448818898,TK6_PolQ_4h_BR3
320,MMEJ,0.0010746160618634074,0.0062465552085247105,TK6_PolQ_4h_BR3
321,MMR,0.003587722207478658,0.07370405278039585,TK6_PolQ_4h_BR3
322,NER,0.0044806077270278235,0.09939371670034908,TK6_PolQ_4h_BR3
323,NHEJ,0.04441621686511096,2.814808010288444,TK6_PolQ_4h_BR3
324,BER_8oxoG_C,0.0030950428355892654,0.863795489701213,HAP1_WT_4h_BR2
