,cell_line,cycling,pathway,repair,n
225,DND41,yes,BER_Hx,0.8523645424279565,19
229,HAP1,yes,BER_Hx,0.9368714673061194,39
230,HELA,no,BER_Hx,0.8875248946393085,18
231,HELA,yes,BER_Hx,0.904872437014556,243
233,JM1,yes,BER_Hx,0.7961057509992664,29
234,JURKAT,no,BER_Hx,0.8605971314490082,26
235,JURKAT,yes,BER_Hx,0.8997190473578893,238
236,KHM1B,yes,BER_Hx,0.8608507767054209,26
238,NALM6,yes,BER_Hx,0.8937212327532686,52
240,PF382,yes,BER_Hx,0.7848085632725106,57
241,RH30,no,BER_Hx,0.8689758427470452,77
242,RH30,yes,BER_Hx,0.8523719032241049,84
243,SAOS2,no,BER_Hx,0.8416243216362296,89
244,SAOS2,yes,BER_Hx,0.8124376301533723,41
245,SUPT11,yes,BER_Hx,0.9132512815403597,16
246,TE617T,no,BER_Hx,0.9644658875212042,13
248,TK6_ATCC,no,BER_Hx,0.8298346762114367,10
249,TK6_ATCC,yes,BER_Hx,0.9054983971732601,21
250,U2OS,no,BER_Hx,0.9061767851987114,203
251,U2OS,yes,BER_Hx,0.8647415646562675,235
252,143B,no,NHEJ,0.9046379923820496,280
253,143B,yes,NHEJ,1.0433813333511353,588
254,ALLSIL,no,NHEJ,0.7593299746513367,25
255,ALLSIL,yes,NHEJ,0.8858097791671753,125
256,C8166,no,NHEJ,1.0248100757598877,52
257,C8166,yes,NHEJ,0.9395938515663147,152
258,CHLA06ATRT,no,NHEJ,1.583545207977295,128
259,CHLA06ATRT,yes,NHEJ,1.320221185684204,48
261,DND41,yes,NHEJ,1.0000338554382324,19
265,HAP1,yes,NHEJ,1.1809723377227783,39
266,HELA,no,NHEJ,1.3282148838043213,18
267,HELA,yes,NHEJ,1.475543737411499,243
269,JM1,yes,NHEJ,0.4718930423259735,29
270,JURKAT,no,NHEJ,1.1367719173431396,26
271,JURKAT,yes,NHEJ,1.1154038906097412,238
272,KHM1B,yes,NHEJ,0.959270715713501,26
274,NALM6,yes,NHEJ,0.568020761013031,52
276,PF382,yes,NHEJ,0.6463638544082642,57
277,RH30,no,NHEJ,0.9991660118103027,77
278,RH30,yes,NHEJ,1.0685738325119019,84
279,SAOS2,no,NHEJ,1.4142658710479736,89
280,SAOS2,yes,NHEJ,1.3514562845230103,41
281,SUPT11,yes,NHEJ,0.4815230369567871,16
282,TE617T,no,NHEJ,1.09602689743042,13
284,TK6_ATCC,no,NHEJ,0.04922045022249222,10
285,TK6_ATCC,yes,NHEJ,0.09657999128103256,21
286,U2OS,no,NHEJ,1.206362247467041,203
287,U2OS,yes,NHEJ,1.073446273803711,235
