,label,pathway,N cells,mean_repair,ci95_low,ci95_high
41,143B,DR_O6MeG,2,0.2580120271465093,0.1633653061946507,0.3859498819773502
42,143B,DR_O6MeG,3,0.2604596100543091,0.17504909684480718,0.3732186993332646
43,143B,DR_O6MeG,4,0.25675518680573967,0.18962174634604598,0.3472224875247896
44,143B,DR_O6MeG,5,0.2550938304168609,0.1931210444133843,0.3472173150782282
45,143B,DR_O6MeG,10,0.25784901481398437,0.21528531793090935,0.31359170678557624
46,143B,DR_O6MeG,20,0.25850145942062486,0.22320072799210694,0.2990849766685898
47,143B,DR_O6MeG,30,0.2580755673947587,0.23048448846775663,0.2891340118133661
48,143B,DR_O6MeG,100,0.25875649765813274,0.24287336165157855,0.27731104238528287
49,143B,DR_O6MeG,500,0.25834491576815205,0.2507895193459738,0.26561693907223294
50,143B,MMR,1,0.25152068671829614,0.031910276148982876,0.6099706744868035
51,143B,MMR,2,0.25275683520626646,0.07107506464124111,0.5140676604815947
52,143B,MMR,3,0.25241508400528,0.08946823880211219,0.45239031219258985
53,143B,MMR,4,0.24987312052009544,0.1131483214886825,0.4324212548888349
54,143B,MMR,5,0.25212639251320434,0.12176121626189892,0.4036473376418503
55,143B,MMR,10,0.25351762839636804,0.1578086521321929,0.35995091625783615
56,143B,MMR,20,0.2527493635564645,0.18750378271436133,0.32430601003888393
57,143B,MMR,30,0.25378274540606915,0.19514024993590634,0.3135187346162056
58,143B,MMR,100,0.25404186608971296,0.22187736831342747,0.28496139070733434
59,143B,MMR,500,0.2532787175611605,0.23970207730966123,0.2667263423461598
60,143B,NER,1,0.13027429659757764,0.003963414486497646,0.5771551683545111
61,143B,NER,2,0.13973347375704906,0.014359163609333337,0.48687375709414477
62,143B,NER,3,0.13735172464419157,0.02594641000032425,0.4308151878416537
63,143B,NER,4,0.12909547911956906,0.03540788535028696,0.35003174096345896
64,143B,NER,5,0.1307527072932571,0.04048895817250013,0.3197920210659504
65,143B,NER,10,0.13123711705580354,0.05453749466687441,0.2844660207629203
66,143B,NER,20,0.1317470899708569,0.07610874008387328,0.22220376059412952
67,143B,NER,30,0.13230058695375918,0.08147844597697258,0.20759545415639877
68,143B,NER,100,0.1341828657016158,0.10379671771079302,0.17363823242485524
69,143B,NER,500,0.13283091236650943,0.11813449878245592,0.1490441631525755
70,143B,NHEJ,1,0.9923781619742512,0.349497639387846,1.9302325248718262
71,143B,NHEJ,2,0.9859881609082222,0.5112635433673859,1.6969642311334607
72,143B,NHEJ,3,1.0078165253400804,0.5977926149964332,1.521383586525917
73,143B,NHEJ,4,0.9979496380090713,0.6715282946825027,1.4470055371522903
74,143B,NHEJ,5,0.9928826699256897,0.6309782072901726,1.3793678283691406
75,143B,NHEJ,10,0.999870186984539,0.7521175175905228,1.2842785447835923
76,143B,NHEJ,20,0.9995341648459435,0.8321818426251412,1.1954521000385283
77,143B,NHEJ,30,0.9970092901587486,0.8504314437508583,1.148975709080696
78,143B,NHEJ,100,1.0021155093312264,0.9184047430753708,1.084759595990181
79,143B,NHEJ,500,0.9990987662672997,0.9643007948994636,1.0368801444768905
80,ALLSIL,BER_8oxoG_C,1,0.8843704279430638,0.8,0.9515570934256056
81,ALLSIL,BER_8oxoG_C,2,0.8826516134702953,0.8265034193799559,0.9315029775897472
82,ALLSIL,BER_8oxoG_C,3,0.8847958476074221,0.8414600569937519,0.9324251018335976
83,ALLSIL,BER_8oxoG_C,4,0.8844670897177483,0.8434552193632102,0.9220497237137236
84,ALLSIL,BER_8oxoG_C,5,0.884333051853641,0.852315877193494,0.9164139667883544
85,ALLSIL,BER_8oxoG_C,10,0.8843163446495041,0.8604929240558074,0.9090213308506637
86,ALLSIL,BER_8oxoG_C,20,0.8843039759108707,0.8671004208792886,0.9011114998990456
87,ALLSIL,BER_8oxoG_C,30,0.8841294729735389,0.8698722751761799,0.8978433695044711
88,ALLSIL,BER_8oxoG_C,100,0.8843552449267612,0.8767352026019585,0.8921533499776494
89,ALLSIL,BER_8oxoG_C,500,0.8842820573169002,0.8806938794192223,0.8876614774488875
90,ALLSIL,BER_A_8oxoG,1,0.73545845538643,0.35852592129918803,0.8764705882352941
91,ALLSIL,BER_A_8oxoG,2,0.7422016489912393,0.5234136109886725,0.8504944143392965
92,ALLSIL,BER_A_8oxoG,3,0.738153077354969,0.5695883293374118,0.8401076360568285
93,ALLSIL,BER_A_8oxoG,4,0.7408365251249911,0.5990019667498243,0.8281937836116432
94,ALLSIL,BER_A_8oxoG,5,0.7387560482573531,0.6129196549104885,0.8241874589473255
95,ALLSIL,BER_A_8oxoG,10,0.741927401307089,0.6636140040276604,0.8038488747268374
96,ALLSIL,BER_A_8oxoG,20,0.7388330596281724,0.6826972270464617,0.7906952126767232
97,ALLSIL,BER_A_8oxoG,30,0.737680286009573,0.6897189535628998,0.776780337576596
98,ALLSIL,BER_A_8oxoG,100,0.7381297375545647,0.7111644118614429,0.763001552450003
99,ALLSIL,BER_A_8oxoG,500,0.7384088150416438,0.7275102995130235,0.7485793261453823
100,ALLSIL,BER_Hx,1,0.8650045471449969,0.7354570637119113,0.9702479338842975
101,ALLSIL,BER_Hx,2,0.8665946523054494,0.7832982129152791,0.9445801283477427
102,ALLSIL,BER_Hx,3,0.8673924689122157,0.8006579551654338,0.9302005601765823
103,ALLSIL,BER_Hx,4,0.8645669282516756,0.8041324191024439,0.9239046482622483
104,ALLSIL,BER_Hx,5,0.8672176228475396,0.8179125896014714,0.9182353016371724
105,ALLSIL,BER_Hx,10,0.8669412216591469,0.8316761572520897,0.9016756976981539
106,ALLSIL,BER_Hx,20,0.8664121120941889,0.8401700040571182,0.8932641206511526
107,ALLSIL,BER_Hx,30,0.8670895481669554,0.8449649328593827,0.8880292681983248
108,ALLSIL,BER_Hx,100,0.8668882134446335,0.8555994279277104,0.8783823950457199
109,ALLSIL,BER_Hx,500,0.8665404827186863,0.8614830582722967,0.8719609570842101
110,ALLSIL,BER_UG,1,0.9972175494385196,0.9873949579831933,1.0
111,ALLSIL,BER_UG,2,0.9973816496025119,0.9910245623731802,1.0
112,ALLSIL,BER_UG,3,0.9971809330792571,0.991325244364525,1.0
113,ALLSIL,BER_UG,4,0.9971753830169486,0.9874340912667657,1.0
114,ALLSIL,BER_UG,5,0.9972994851710275,0.9894073108417248,0.9996373374191675
115,ALLSIL,BER_UG,10,0.9972317709207504,0.9927154912461726,0.9991592329991487
116,ALLSIL,BER_UG,20,0.997280499385732,0.994533077219495,0.9987036520983221
117,ALLSIL,BER_UG,30,0.9973055953835037,0.9952816647788212,0.9985369965397571
118,ALLSIL,BER_UG,100,0.9972906604312504,0.9962470306396969,0.9980429265547872
119,ALLSIL,BER_UG,500,0.9972925812543373,0.9968399932706249,0.9976921759160531
120,ALLSIL,DR_O6MeG,1,0.22136017432343802,0.13636363636363635,0.40160642570281124
121,ALLSIL,DR_O6MeG,2,0.22254428868853393,0.15987175019375854,0.3267839328005036
